#名前,職,index,キャラタイプ,同一人物コード,リンクコード,称号,レア度,コスト,絆コスト,武器属性,入手先・分類,入手先,声優,イラストレーター,所属,職業,最大ATK,最大HP,限界ATK,限界HP,Wiki名
ラス,M,125,first,,,友情の少年,3,10,2,Ma,cross,other,緑川 光,sime,life,Accept,4250,3100,5850,4700,
,,,,,,,,,,,,,,,,,,,,,
ルト,F,169,first,,,英雄願望の少年,2,5,1,Sl,cross,other,緑川 光,照井梢,life,Accept,3000,2560,4400,3960,
ネノ,M,126,first,,,母親代わりの少女,2,5,1,Ma,cross,other,洲崎 綾,ネム,life,Accept,2700,2200,4100,3600,
カヌ,M,127,first,,,無垢なる少女,2,5,1,Ma,cross,other,井口 裕香,憂,life,Accept,2950,2000,4350,3400,
,,,,,,,,,,,,,,,,,,,,,
# 魔神タクリタン戦,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
シュレン,F,170,first,,,逆巻く野心,5,17,4,Sl,event,festival,畠中 祐,たわわ実,volcano,MasterFencer,6850,6250,8850,8250,
フリーダ,M,128,first,,,巨大書庫の主,5,17,4,Ma,event,festival,芝崎 典子,GENJIN,guildtown,Magician,6500,4150,8500,6150,
マトイ,F,171,first,,,壱領忍衆,4,13,3,Sl,event,festival,和井 みずき,紅緒,volcano,Shinobi,5600,5100,7400,6900,
ハヤテ,F,172,first,,,忠誠の剣士,4,13,3,Sl,event,festival,鳥野 貴広,ミヤジマハル,volcano,Samurai,5700,5150,7500,6950,
パルゥ,A,88,first,,,薬師弓者,4,13,3,Ar,event,festival,小池 理子,スズメユウ,guildtown,Ranger,5300,2850,7100,4650,
タクリタン,M,129,demon,,,召喚の魔神,5,20,4,Ma,event,demon,朝日奈 丸佳,ZIS,demon,Demon,5600,3550,9200,5950,
,,,,,,,,,,,,,,,,,,,,,
レガレ,M,130,first,,,深海の姫君,5,16,4,Ma,random,coin,小林 ゆう,沙汰,forest,Magician,5600,3550,7600,5500,
,,,,,,,,,,,,,,,,,,,,,
# 2周年記念,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ロレッタ,F,173,first,F70,,撃滅魔人,5,20,4,Bl,event,festival,小岩井 ことり,萩谷薫,guildtown,Merchant,7450,7450,9450,9450,
ニンファ,F,174,first,F71,,幸運に導く戦士,5,20,4,Sl,event,festival,内田 真礼,煎茶,guildtown,Warrior,7250,7250,9250,9250,
アルドラ,M,131,first,M48,,万象の大魔導師,5,20,4,Ma,event,festival,内田 真礼,萩谷薫,guildtown,Magician,7400,4700,9400,6700,
ナックル,K,87,first,K8,,太陽の騎士,5,18,4,Sl,event,other,柳田 淳一,文太,guildtown,GoldenKnight,6900,7590,8900,9590,
,,,,,,,,,,,,,,,,,,,,,
# ケ者チェインストーリーフェス,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ガルルア,F,175,first,,,黒毛の双剣士,5,20,4,Sl,cross,beasts,柿原 徹也,ネム,beasts,Fighter,7720,6940,9720,8940,
シャロララ,F,176,first,,,愛の白兎,5,20,4,Pu,cross,beasts,内田 彩,泉彩,beasts,Grappler,7680,6800,9680,8800,
フォリリネ,F,177,first,,,気ままな女狐,5,20,4,Pi,cross,beasts,伊瀬 茉莉也,Chiyoko,beasts,Fighter,7280,7350,9280,9350,
ザリリオ,F,178,first,,,強者を探す牙,4,15,3,Bl,cross,beasts,藤村 歩,チェロキー,beasts,Fighter,5680,5580,7480,7380,
,,,,,,,,,,,,,,,,,,,,,
アスルトルナ,F,179,first,,,呪槍の乙女,5,19,4,Pi,random,ring,小清水 亜美,hakus,guildtown,Warrior,7320,6840,9320,8840,
,,,,,,,,,,,,,,,,,,,,,
# ブレイブフロンティアコラボ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ヴァルガス,F,180,collaboration,,,煌覇炎神,5,18,4,Sl,collaboration,brave,檜山 修之,天野英,others,Hero,7330,6350,9330,8350,
ルナリス,M,132,collaboration,,,艶傀の瞑儚神,5,18,4,Pi,collaboration,brave,佐久間 レイ,天野英,others,Hero,7120,5600,9120,7600,
セリア,F,181,collaboration,,,孤高の剣士,4,13,3,Sl,collaboration,brave,三澤 紗千香,エイリム,others,Summoner,5450,5450,7250,7250,
カル,K,88,collaboration,,,氷の勇騎士,4,13,3,Pi,collaboration,brave,赤羽根 健治,エイリム,others,Summoner,5350,5850,7150,7650,
ティリス,P,49,collaboration,,,女神,5,22,4,He,collaboration,brave,福井 裕佳梨,エイリム,others,Goddess,5440,5000,9040,8000,
,,,,,,,,,,,,,,,,,,,,,
イビサム,F,182,first,,,笑顔の芸人,4,13,3,Bl,random,ring,大坪 由佳,ネム,oasis,Entertainner,5300,5300,7100,7100,
バスマ,K,89,first,,,笑顔の芸人,4,13,3,Sl,random,ring,村川 梨衣,ネム,oasis,Entertainner,5100,5500,6900,7300,
,,,,,,,,,,,,,,,,,,,,,
ツヅミ,F,183,first,,,太鼓の奏者,5,16,4,Bl,random,coin,朴 ろ美,円居雄一郎,volcano,Minstrel,5500,5250,7500,7250,
,,,,,,,,,,,,,,,,,,,,,
# 魔神ロサビス戦,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ロザリア,F,184,first,,,亡国の王女,5,18,4,Sl,event,festival,小林 ゆう,天野英,others,Demon,7040,7020,9040,9020,
ロサビス,K,90,demon,,,鋼の魔神,5,22,4,Bl,event,demon,緒方 恵美,天野英,demon,Demon,5100,5600,8900,11000,
,,,,,,,,,,,,,,,,,,,,,
# フーコの夏祭り,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
シンフォニア,K,91,first,K37,,絢爛の法被,5,17,4,Sl,event,festival,佐倉 綾音,武城にしき,holytown,Paladin,6400,7700,8400,9700,
ヴェルナー,M,133,first,M49,,甚平兵団師団長,5,16,4,Ma,event,festival,柳田 淳一,天野英,academy,Magician,6800,3500,8800,5500,
ユニ,M,134,first,M51,,浴衣兵団隊長,5,16,4,Sl,event,festival,小岩井 ことり,NPA,academy,RuneFencer,6600,3570,8600,5570,
ローエンディア,K,92,first,K29,,浴衣の白百合,4,12,3,Sl,event,festival,内田 真礼,木志田コテツ,holytown,Paladin,4800,5990,6600,7790,
エレミア,M,135,first,M35,,浴衣のメイド,4,12,3,Ma,event,festival,小岩井 ことり,DSマイル,academy,Servant,5400,2930,7200,4730,
アリエッタ,P,50,first,P17,,浴衣の司祭,4,12,3,He,event,festival,内田 真礼,秋津たいら,holytown,Priest,5450,3200,7250,5000,
フーコ,F,185,first,F73,,すごうで忍者,5,20,4,Sl,event,war,小岩井 ことり,Nardack,volcano,Shinobi,5800,5010,9000,8100,
フィーナ,P,51,first,P24,,年代記の浴衣,5,16,4,He,event,war,佐倉 綾音,toi8,volunteers,Chronicler,4400,2600,9400,6600,
,,,,,,,,,,,,,,,,,,,,,
シュゾン,K,93,first,,,スラム期待の星,5,16,4,Sl,random,coin,大坪 由佳,泉彩,guildtown,Guard,5250,6150,7250,8150,
,,,,,,,,,,,,,,,,,,,,,
# 罪の大陸新キャラ追加,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ホルスト,A,89,first,,,贖罪の双銃闘術,5,20,4,Gu,cross,criminal,稲田 徹,NPA,criminal,Gunner,7200,5000,9200,7000,
ヨハンナ,A,90,first,,,劇場型犯罪女優,5,20,4,Gu,cross,criminal,伊瀬 茉莉也,mamuru,criminal,Actor,7750,3550,9750,5550,
ユディト,A,91,first,,,情念の復讐者,5,20,4,Sh,cross,criminal,沢城 みゆき,タカナシカナ,criminal,Sniper,7880,3480,9880,5480,
ベッツィー,F,186,first,,,血染めの花,4,15,3,Sl,cross,criminal,小山 茉美,卵の黄身,criminal,Killer,5700,5700,7500,7500,
,,,,,,,,,,,,,,,,,,,,,
# シャイニング・レゾナンスコラボ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ジーナス,F,187,collaboration,,,孤高のドラゴンスレイヤー,5,18,4,Sl,collaboration,shiningresonance,神谷 浩史,Tony,others,Dragon Slayer,7200,6320,9200,8320,
ゼスト,F,188,collaboration,,,帝国最狂の破戒騎士,5,18,4,Sl,collaboration,shiningresonance,保志 総一朗,Tony,others,Berserker,7450,6000,9450,8000,
エクセラ,K,94,collaboration,,,神曲の竜騎士姫,5,18,4,Pi,collaboration,shiningresonance,水樹 奈々,Tony,others,Dragon Master,6750,7650,8750,9650,
ベアトリス,F,189,collaboration,,,月影に忍ぶ妖精,4,13,3,Sl,collaboration,shiningresonance,桑島 法子,Tony,others,Ninja Master,5500,5000,7300,6800,
ゲオルグ,K,95,collaboration,,,竜を狙う黒き狼,4,13,3,Sl,collaboration,shiningresonance,小山 力也,Tony,others,Arch Paradin,5200,5850,7000,7650,
マリオン,A,92,collaboration,,,魔眼の弾き手,4,13,3,Sh,collaboration,shiningresonance,沢城 みゆき,Tony,others,Dragonar,5400,3000,7200,4800,
ヨアヒム,P,52,collaboration,,,断罪の錬金術師,4,13,3,He,collaboration,shiningresonance,中井 和哉,Tony,others,Alchemist,5180,4250,6980,6050,
,,,,,,,,,,,,,,,,,,,,,
ユーマ,F,190,collaboration,,,竜の心を持つ少年,5,18,4,Sl,collaboration,shiningresonance,島崎 信長,Tony,others,Dragon,7050,7050,9050,9050,
ソニア,K,96,collaboration,,,竜を導く稲妻王女,5,18,4,Pi,collaboration,shiningresonance,瀬戸 麻沙美,Tony,others,Princess,6650,7450,8650,9450,
キリカ,A,93,collaboration,,,古の歌を継ぐ少女,5,18,4,Ar,collaboration,shiningresonance,早見 沙織,Tony,others,Dragonar,7180,4000,9180,6000,
アグナム,F,191,collaboration,,,爆音の炎術師,4,13,3,Bl,collaboration,shiningresonance,宮野 真守,Tony,others,Dragonar,5400,5400,7200,7200,
レスティ,K,97,collaboration,,,氷牙の妖精騎士,4,13,3,Pi,collaboration,shiningresonance,中村 悠一,Tony,others,Dragonar,5300,5750,7100,7550,
リンナ,P,53,collaboration,,,旋風の精霊使い,4,13,3,He,collaboration,shiningresonance,茅野 愛衣,Tony,others,Dragonar,5450,3900,7250,5700,
,,,,,,,,,,,,,,,,,,,,,
ソニア,K,98,collaboration,K96,,黄金の雷撃姫,5,20,4,Pi,collaboration,shiningresonance,瀬戸 麻沙美,Tony,others,Dragonar,4650,5650,8650,9650,
キリカ,A,94,collaboration,A93,,聖印の歌巫女,5,20,4,Ar,collaboration,shiningresonance,早見 沙織,Tony,others,Dragonar,4900,2800,9100,6200,
,,,,,,,,,,,,,,,,,,,,,
# 2部6章,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
フェーベ,K,99,first,,,翼の少女,5,20,4,Pi,origin,machine,小林 ゆう,NPA,machine,Cyborg,7200,7900,9200,9900,
エレメンガルト,K,100,first,,,殺戮機械,5,20,4,Pi,origin,machine,田村 ゆかり,Nidy-2D-,machine,Soldier,7100,8000,9100,10000,
ケーテ,K,101,first,,,明日を穿つ左腕,5,20,4,Bl,origin,machine,内田 彩,竜徹,machine,Cyborg,7350,7650,9350,9650,
ハンネス,A,95,first,,,全身武器庫,5,20,4,Sh,origin,machine,藤原 啓治,平将,machine,Soldier,8250,3650,10250,5650,
オリヴィア,A,96,first,,,孤独な兵器,5,20,4,Gu,origin,machine,三石 琴乃,NPA,machine,Soldier,7600,4300,9600,6300,
,,,,,,,,,,,,,,,,,,,,,
アルトルム,F,192,first,,,鉄の拳,4,15,3,Pu,origin,machine,緑川 光,平将,machine,Grappler,6000,5500,7800,7300,
アリーナ,F,193,first,,,機械仕掛けの右手,4,15,3,Pu,origin,machine,伊藤 静,NPA,machine,Grappler,5760,5250,7560,7050,
ディートリンデ,K,102,first,,,蒸気機関車車掌,4,15,3,Pi,origin,machine,今井 麻美,ricci,machine,Conductress,5800,6200,7600,8000,
フロレンツィア,K,103,first,,,蒸気纏う衛士,4,15,3,Bl,origin,machine,伊藤 かな恵,卵の黄身,machine,Guard,5650,6350,7450,8150,
フリードリッヒ,K,104,first,,,衰え知らぬ肉体,4,15,3,Bl,origin,machine,銀河 万丈,竜徹,machine,Cyborg,5600,7000,7400,8800,
エーリヒ,A,97,first,,,警邏隊,4,15,3,Sh,origin,machine,浪川 大輔,萩谷薫,machine,Guard,5750,3150,7550,4950,
ランドルフ,A,98,first,,,警邏隊,4,15,3,Sh,origin,machine,稲田 徹,萩谷薫,machine,Guard,5600,3300,7400,5100,
ミリヤム,A,99,first,,,遺物博物館館長,4,15,3,Sh,origin,machine,三澤 紗千香,I☆LA,machine,Curator,5150,3500,6950,5300,
ビアンカ,P,54,first,,,貧民街の導き手,4,15,3,He,origin,machine,皆口 裕子,天野英,machine,Healer,5300,4400,7100,6200,
,,,,,,,,,,,,,,,,,,,,,
クルト,F,194,first,,,穴掘り少年,3,10,2,Pu,origin,other,赤羽根 健治,lack,machine,Cyborg,4750,3600,6350,5200,
オティーリエ,K,105,first,,,壊れかけたお嬢様,3,10,2,Pi,origin,machine,小林 ゆう,Chiyoko,machine,Cyborg,4900,5100,6500,6700,
アンチェ,K,106,first,,,見習い修理工,3,10,2,Bl,origin,machine,福圓 美里,秋津たいら,machine,Smith,5050,4750,5210,4910,
アニヤ,K,107,first,,,クイズの申し子,3,10,2,Sl,origin,machine,伊瀬 茉莉也,葉山えいし,machine,Cyborg,4600,4750,6200,6350,
アレックス,K,108,first,,,弱き者の盾,3,10,2,Pi,origin,machine,檜山 修之,西野幸治,machine,Cyborg,5250,4630,6850,6230,
カーヤ,K,109,first,,,熱をくべる少女,3,10,2,Bl,origin,other,佐久間 レイ,moc,machine,Cyborg,4800,4960,6400,6560,
イリーネ,A,100,first,,,楽器でできた少女,3,10,2,Ar,origin,machine,藤村 歩,hippo,machine,Minstrel,4580,2550,6180,4150,
レーネ,A,101,first,,,二丁拳銃の賞金稼ぎ,3,10,2,Gu,origin,machine,渕上 舞,シモシ,machine,Gunner,4780,2250,6380,3850,
ラース,P,55,first,,,機械の医師,3,10,2,He,origin,machine,速水 奨,チェロキー,machine,Medic,4500,3000,6100,4600,
,,,,,,,,,,,,,,,,,,,,,
ツィスカ,K,110,first,,,悪ガキ大将,2,6,1,Bl,origin,other,寺崎 裕香,カガミレイ,machine,Cyborg,2560,2940,3960,4340,
エッケハルト,A,102,first,,,古代文明の探究者,2,6,1,Gu,origin,other,藤原 啓治,三好載克,machine,Professor,2760,1430,4160,2830,
,,,,,,,,,,,,,,,,,,,,,
ライラック,K,111,first,,,弔いの聖騎士,5,19,4,Sl,random,ring,皆口 裕子,煎茶,holytown,Paladin,6960,7540,8960,9540,
,,,,,,,,,,,,,,,,,,,,,
# 九領キャラ追加,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ミシマ,F,195,first,,,海を総べる第十領主,5,18,4,Sl,yggd,volcano,緑川 光,lack,volcano,MasterFencer,7000,7000,9000,9000,
ムラクモ,F,196,first,,,主求めし剣豪,5,18,4,Sl,yggd,volcano,皆口 裕子,ilumine works,volcano,MasterFencer,7100,6750,9100,8750,
クズノハ,M,136,first,,,式神使い,5,18,4,Ma,yggd,volcano,田村 ゆかり,hakus,volcano,Magician,7040,4040,9040,6040,
キョウカ,F,197,first,,,最恐の主婦,4,13,3,Sl,yggd,volcano,藤井 ゆきよ,I☆LA,volcano,Housewife,5320,5320,7120,7120,
エンクウ,P,56,first,,,棺を担ぐ鬼坊主,4,13,3,He,yggd,volcano,中村 悠一,武城にしき,volcano,Priest,5580,3880,7380,5680,
,,,,,,,,,,,,,,,,,,,,,
# 竜徹フェス,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
フリージア,M,137,first,,,薄氷の魔法使い,5,18,4,Ma,yggd,mountain,小岩井 ことり,竜徹,mountain,Magician,6960,4160,8960,6160,
,,,,,,,,,,,,,,,,,,,,,
# お菓子とおばけと子供たち,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
テルー,M,138,first,,,恥ずかしがり屋おばけ,4,10,3,Ma,event,other,藤井 ゆきよ,ネム,guildtown,Ghost,4250,2250,6050,4050,
シュガー,M,139,first,,,オカシなゴーレム,4,13,3,Ma,yggd,academy,野川 さくら,lack,academy,Magician,5500,3700,7300,5500,
,,,,,,,,,,,,,,,,,,,,,
# アトリエ「アーランドシリーズ」コラボ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
トトリ,M,140,collaboration,,,母を探す冒険者,5,18,4,Ma,collaboration,atelier_arland,名塚 佳織,岸田メル,others,Alchemist,6950,4500,8950,6500,
メルル,M,141,collaboration,,,アールズ王国の姫,5,18,4,Ma,collaboration,atelier_arland,明坂 聡美,岸田メル,others,Alchemist,7100,5630,9100,7630,
ステルク,K,112,collaboration,,,誇り高き“元”騎士,5,18,4,Sl,collaboration,atelier_arland,小杉 十郎太,岸田メル,others,Knight,7200,7300,9200,9300,
ミミ,F,198,collaboration,,,トトリを支える冒険者,4,13,3,Pi,collaboration,atelier_arland,井口 裕香,岸田メル,others,Noble,5750,4850,7550,6650,
クーデリア,A,103,collaboration,,,心優しきロロナの親友,4,13,3,Gu,collaboration,atelier_arland,喜多村 英梨,岸田メル,others,Noble,5600,2850,7400,4650,
ケイナ,P,57,collaboration,,,メルルに仕えるメイド,4,13,3,He,collaboration,atelier_arland,佐藤 香織,岸田メル,others,Servant,5500,3700,7300,5500,
,,,,,,,,,,,,,,,,,,,,,
ロロナ,M,142,collaboration,,,錬金術士,4,8,3,Ma,collaboration,atelier_arland,門脇 舞以,岸田メル,others,Alchemist,5100,2800,6300,4600,
ロロナ,M,143,collaboration,M142,,アーランドの錬金術士,5,22,4,Ma,collaboration,atelier_arland,門脇 舞以,岸田メル,others,Alchemist,5600,3300,9000,6300,
,,,,,,,,,,,,,,,,,,,,,
リュドミラ,F,199,first,,,白衣の堕天使,5,19,4,Pi,random,ring,井口 裕香,TNSK,criminal,Paramedic,7550,6900,9550,8900,
ナナイ,M,144,first,,,錬金術ギルド長,5,18,4,Ma,yggd,guildtown,水瀬 いのり,岸田メル,guildtown,Alchemist,7000,4100,9000,6100,
,,,,,,,,,,,,,,,,,,,,,
# ショートストーリーズフェス,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
キララネ,M,145,first,,,狐尾族の族長,5,20,4,Pu,event,festival,小林 ゆう,NPA,beasts,Shaman,7500,4200,9500,6200,
,,,,,,,,,,,,,,,,,,,,,
# 相剋の精霊島,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
リンセ,F,200,first,F72,,山猫の拳士,5,18,4,Pu,event,festival,小岩井 ことり,Nardack,forest,Grappler,7220,6220,9220,8220,
アギーラ,F,201,first,,,風裂く翼,5,18,4,Pu,yggd,forest,藤井 ゆきよ,卵の黄身,forest,Grappler,7280,6400,9280,8400,
スピリオーナ,A,104,first,,,千河の人魂,4,13,3,Ar,yggd,forest,伊藤 かな恵,シモシ,forest,Archer,5600,3100,7400,4900,
リーニャ,A,105,first,A17,,木漏れ日の射手,5,20,4,Ar,event,score,内田 真礼,ネム,forest,Archer,4800,3100,9000,6300,
,,,,,,,,,,,,,,,,,,,,,
ソフィー,M,146,collaboration,,,デキる錬金術士,5,16,4,Ma,collaboration,other,相坂 優歌,NOCO,others,Alchemist,6450,4000,8450,6000,
サクヤ,F,202,collaboration,F75,,紅蓮の炎舞,5,17,4,Sl,collaboration,other,水樹 奈々,Tony,others,RuneFencer,6770,5770,8770,7770,
,,,,,,,,,,,,,,,,,,,,,
# 聖剣伝説コラボ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ケヴィン,F,203,collaboration,,,聖拳の獣人,5,19,4,Pu,collaboration,seiken,逢坂 良太,萩谷薫,others,GodHand,7500,7100,9500,9100,
ホークアイ,F,204,collaboration,,,熱砂の義賊,5,19,4,Sl,collaboration,seiken,小野 友樹,寺山敬,others,Wanderer,7400,6950,9400,8950,
シャルロット,P,58,collaboration,,,神聖なるものの代弁者,5,19,4,Bl,collaboration,seiken,諸星 すみれ,寺澤隆徳,others,Bishop,7200,5800,9200,7800,
,,,,,,,,,,,,,,,,,,,,,
ランディ,F,205,collaboration,,,聖剣の勇者,4,13,3,Sl,collaboration,seiken,小野 賢章,HACCAN,others,Warrior,5500,5500,7300,7300,
プリム,F,206,collaboration,,,恋人を探す少女,4,13,3,Pu,collaboration,seiken,山本 希望,HACCAN,others,Warrior,5700,4900,7500,6700,
ポポイ,M,147,collaboration,,,故郷を夢見る妖精,4,13,3,Ma,collaboration,seiken,水野 マリコ,HACCAN,others,Magician,5450,3600,7250,5400,
,,,,,,,,,,,,,,,,,,,,,
デュラン,F,207,collaboration,,,強さを求める決闘者,5,19,4,Sl,collaboration,seiken,江口 拓也,竜徹,others,Duelist,7200,7200,9200,9200,
リース,K,113,collaboration,,,高潔なる姫騎士,5,19,4,Pi,collaboration,seiken,小松 未可子,NPA,others,FenrirKnight,7400,7300,9400,9300,
アンジェラ,M,148,collaboration,,,探求の魔法王女,5,19,4,Ma,collaboration,seiken,大久保 瑠美,文太,others,Magus,7500,4900,9500,6900,
,,,,,,,,,,,,,,,,,,,,,
シジマ,P,59,first,,,求道の荒尼僧,5,19,4,Pi,random,ring,伊瀬 茉莉也,竜徹,volcano,Armed Priest,7200,5600,9200,7600,
ダスティ,F,208,first,F8,,情熱武器商人,4,12,3,Sl,event,other,柳田 淳一,ネム,guildtown,Merchant,5700,4900,7500,6700,
,,,,,,,,,,,,,,,,,,,,,
# 2部7章,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
セラフィー,F,209,first,,,白翼の熾典,5,20,4,Sl,origin,chronicle,皆口 裕子,風間雷太,chronicle,Watcher,7450,7400,9450,9400,
クライン,F,210,first,,,懲役一億年,5,20,4,Pu,origin,chronicle,銀河 万丈,lack,chronicle,Criminal,7500,7500,9500,9500,
ツァーリ14世,K,114,first,,,王の中の王,5,20,4,Sl,origin,chronicle,銀河 万丈,天野英,chronicle,King,7100,8300,9100,10300,
レノ,A,106,first,,,惨禍の賭博師,5,20,4,Gu,origin,chronicle,緑川 光,黒葉.K,chronicle,Gambler,7770,3560,9770,5560,
イシュチェル,A,107,first,,,慧眼の弓士,5,20,4,Ar,origin,chronicle,井上 麻里奈,武城にしき,chronicle,Archer,7400,3800,9400,5800,
オデッセイア,M,149,first,,,深海の姫皇子,5,20,4,Pi,origin,chronicle,伊藤 かな恵,シルバー,chronicle,Princess,7300,4500,9300,6500,
メッテイヤ,M,150,first,,,蛇鱗の女帝,5,20,4,Ma,origin,chronicle,水橋 かおり,NPA,chronicle,Queen,7300,4700,9300,6700,
,,,,,,,,,,,,,,,,,,,,,
ミョルン,F,211,first,,,最愛の友,4,15,3,Bl,origin,chronicle,内田 彩,村山竜大,chronicle,Friend,5550,5200,7350,7000,
ミンミ,K,115,first,,,試練を受けし姉妹,4,15,3,Pi,origin,chronicle,大坪 由佳,煎茶,chronicle,Guard,5750,6100,7550,7900,
シリル,K,116,first,,,歩みを止めぬ者,4,15,3,Sl,origin,chronicle,今井 麻美,ネム,chronicle,Hero,5350,6550,7150,8350,
シェキナ,A,108,first,,,衝撃の一矢,4,15,3,Ar,origin,chronicle,井上 喜久子,チーコ,chronicle,Archer,5800,3700,7600,5500,
レンレ,P,60,first,,,試練を受けし姉妹,4,15,3,He,origin,chronicle,村川 梨衣,煎茶,chronicle,Healer,5400,4300,7200,6100,
フィシ,P,61,first,,,世界樹の芽守,4,15,3,He,origin,chronicle,小岩井 ことり,富岡二郎（RED FS）,chronicle,Orphan,5350,4250,7150,6050,
,,,,,,,,,,,,,,,,,,,,,
ギュネス,P,62,first,,,日輪の担い手,3,10,2,He,origin,other,緑川 光,天野英,chronicle,Healer,4600,3500,6200,5100,
,,,,,,,,,,,,,,,,,,,,,
# クリスマス2015/監獄チェインストーリー,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
キャロル,M,151,first,,,聖夜の新人演出家,4,10,3,Ma,event,other,今井 麻美,伊藤明十,guildtown,Magician,4600,2500,6400,4300,
リーア,P,63,first,,,無原罪の少女,5,20,4,He,event,festival,田村 ゆかり,天野英,criminal,Orphan,8020,4200,10020,6200,
,,,,,,,,,,,,,,,,,,,,,
# 魔神ズフラス戦,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
エイラ,K,117,first,,,人と森に寄り添う者,5,18,4,Sl,yggd,forest,渕上 舞,NPA,forest,Guardian,7000,7500,9000,9500,
ズフラス,A,109,demon,,,森の魔神,5,22,4,Ar,event,demon,福圓 美里,NPA,demon,Demon,5300,2500,9700,5700,
,,,,,,,,,,,,,,,,,,,,,
# 2016新年,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
シュザ,F,212,first,,,九領筆頭,5,20,4,Sl,event,festival,緑川 光,黒葉.K,volcano,MasterFencer,8000,7000,10000,9000,
マカコ,F,213,first,,,戯れの猿娘,4,10,3,Pu,event,other,柚木 涼香,あさぎり,forest,Grappler,4800,4200,6600,6000,
,,,,,,,,,,,,,,,,,,,,,
タピール,M,152,first,,,夢渡る獏の使い,5,19,4,Ma,random,ring,今井 麻美,Mika Pikazo,forest,Magician,7600,4800,9600,5800,
アトノア,M,153,first,,,言霊使い,5,16,4,Ma,event,other,伊藤 かな恵,堀 愛里／日本一ソフト,academy,Professor,6000,3000,8000,5000,
,,,,,,,,,,,,,,,,,,,,,
# 空の軌跡SCコラボ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ヨシュア,F,214,collaboration,,,正遊撃士,5,20,4,Sl,collaboration,falcom_sorasc,斎賀 みつき,日本ファルコム,others,Bracer,5600,4800,9100,8000,
レーヴェ,F,216,collaboration,,,剣帝,5,19,4,Sl,collaboration,falcom_sorasc,緑川 光,日本ファルコム,others,Legion,7600,6900,9600,8900,
エステル,K,118,collaboration,,,正遊撃士,5,19,4,Bl,collaboration,falcom_sorasc,神田 朱未,日本ファルコム,others,Bracer,7000,7800,9000,9800,
レン,M,154,collaboration,,,殲滅天使,5,19,4,Sl,collaboration,falcom_sorasc,西原 久美子,日本ファルコム,others,Legion,7350,5200,9350,7200,
,,,,,,,,,,,,,,,,,,,,,
ヨシュア,F,215,collaboration,F214,,漆黒の牙,4,8,3,Sl,collaboration,falcom_sorasc,斎賀 みつき,日本ファルコム,others,Legion,5600,4800,,,
アネラス,F,217,collaboration,,,可愛いは正義,4,13,3,Sl,collaboration,falcom_sorasc,大河内 雅子,日本ファルコム,others,Bracer,5650,5200,7450,7000,
クローゼ,K,119,collaboration,,,王立学園2年生,4,13,3,Pi,collaboration,falcom_sorasc,皆口 裕子,日本ファルコム,others,Student,5300,5900,7100,7700,
アガット,K,120,collaboration,,,重剣の遊撃士,4,13,3,Sl,collaboration,falcom_sorasc,近藤 孝行,日本ファルコム,others,Bracer,5700,5500,7500,7300,
オリビエ,A,110,collaboration,,,漂泊の詩人,4,13,3,Gu,collaboration,falcom_sorasc,子安 武人,日本ファルコム,others,Minstrel,5250,3300,7050,5100,
ティータ,A,111,collaboration,,,小さな発明家,4,13,3,Sh,collaboration,falcom_sorasc,今野 宏美,日本ファルコム,others,Engineer,5520,2920,7320,4720,
,,,,,,,,,,,,,,,,,,,,,
# 王都に咲く白百合,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
ユリアナ,K,121,first,K38,,誓いし聖王女,5,20,4,Sl,event,festival,小岩井 ことり,toi8,holytown,Princess,7500,7700,9500,9700,
